exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (multiple pathways),aig aif,0.2615794809722095,0.08605329280659431,0.5269364774475286,*
aet,Indirect (single pathway),aif,0.14968740121505483,0.010952586730316799,0.38092841734521315,*
aet,Indirect (single pathway),aig,0.10857683043828525,-0.013946837495770673,0.2636587047185413,
aet,Total,aig aif,0.3994292179472214,0.15567557950800118,0.6461892518270809,*
cwd,Indirect (multiple pathways),aig aif,0.16899621718121696,0.03854027211019643,0.35302561768761176,*
cwd,Indirect (single pathway),aif,0.08124640959107657,9.811251543463567e-5,0.24745613998730176,*
cwd,Indirect (single pathway),aig,0.07726457403605917,-0.007661820738955284,0.20877546247265563,
p2,Indirect (multiple pathways),aig aif,0.3919862460124095,0.15736650143353037,0.6882775190092355,*
p2,Indirect (single pathway),aif,0.1986605906342464,0.013142727491690485,0.4797647169570223,*
p2,Indirect (single pathway),aig,0.19236043884099482,-0.03516537654780091,0.40949513253488984,
p2,Total,aig aif,0.9820568365364181,0.8220011800124504,1.134524425710067,*
shr,Indirect (multiple pathways),png aig aif,-0.3476416072823513,-0.6632635273323337,-0.13231884837677318,*
shr,Indirect (single pathway),aif,-0.20984725274010807,-0.5407370981392994,-0.016306445660128285,*
shr,Indirect (single pathway),aig,-0.051788303186417015,-0.19718315250606377,0.05380272723334253,
shr,Indirect (single pathway),png aig,-0.05287422287439147,-0.2549871661328316,0.0114846239610332,
tmn,Indirect (single pathway),aig,-0.09335074079421501,-0.2427356551804308,0.01407613786059191,
tmn,Total,aig,-0.22795677297357422,-0.40658085051228904,-0.035080087813285254,*
