"","plot","ppt11_12","ppt12_13","ppt14_15","ppt15_16","tmax_13","tmax16","tmin_13","tmin_16","vpdmax_13","vpdmax_16"
"1",1,194.709999918938,190.499996542931,294.57999920845,357.172996282577,21.2199993133545,19.8859996795654,-12.1899995803833,-5.92000007629395,21.9500007629395,17.9650001525879
"2",2,301.340003252029,296.009999513626,352.010004520416,475.893000602722,17.9699993133545,16.9939994812012,-9.0600004196167,-4.80999994277954,16.9099998474121,14.33899974823
"3",3,162.15999674797,162.000002503395,223.120000362396,344.811003684998,22.1800003051758,20.5149993896484,-13.0799999237061,-5.71000003814697,23.7399997711182,18.7180004119873
"4",4,125.239998579025,115.109999299049,206.249999761581,325.130002021789,22,20.2830009460449,-13.539999961853,-6.30000019073486,23.5400009155273,18.4640007019043
"5",5,117.109999418259,110.319998860359,200.839999675751,322.588994026184,22.5,20.7950000762939,-14.1700000762939,-6.67000007629395,24.2800006866455,19.2019996643066
"6",6,176.75,175.500000715256,265.720001578331,321.820999741554,21,19.9759998321533,-13.4899997711182,-7.01999998092651,21.5499992370605,17.9200000762939
"7",7,219.789999127388,231.259996414185,279.280001044273,393.819998264313,21.6299991607666,19.2630004882812,-11.2799997329712,-5.65000009536743,22.6900005340576,17.0240001678467
"8",8,189.770000636578,176.710003376007,269.229999065399,342.374001026154,20.6399993896484,19.7479991912842,-11.7200002670288,-4.48999977111816,21.1599998474121,17.8799991607666
"9",10,166.960000038147,172.490000009537,270.91000020504,327.596000313759,21.0699996948242,19.8169994354248,-12.5699996948242,-5.76000022888184,21.7199993133545,17.9750003814697
"10",11,225.390002846718,231.510001897812,319.650000333786,400.862993836403,19.6399993896484,18.367000579834,-10.2399997711182,-4.86999988555908,19.8099994659424,15.8940000534058
"11",12,159.589999377728,150.22000002861,247.209999084473,309.421996831894,20.9599990844727,20.0470008850098,-12.2399997711182,-4.98999977111816,21.5499992370605,18.2569999694824
"12",13,248.880000114441,250.759995520115,345.819998264313,416.783994674683,20.0400009155273,18.875,-11.4799995422363,-5.51000022888184,20.2700004577637,16.4489994049072
"13",14,132.600001424551,139.120001912117,256.31000328064,297.609999001026,22.0599994659424,20.5100002288818,-13.9099998474121,-8.39999961853027,23.2099990844727,18.8490009307861
"14",16,246.819999456406,244.039996147155,341.149997234344,416.948000431061,19.8199996948242,18.57200050354,-10.1800003051758,-4.82999992370605,20.0100002288818,16.1569995880127
"15",18,248.880000114441,250.759995520115,345.819998264313,416.783994674683,20.0400009155273,18.875,-11.4799995422363,-5.51000022888184,20.2700004577637,16.4489994049072
"16",19,153.099997282028,152.260000765324,260.089999318123,295.360999196768,22.0799999237061,20.7649993896484,-13.8299999237061,-7.51000022888184,23.1599998474121,19.25
"17",20,153.099997282028,152.260000765324,260.089999318123,295.360999196768,22.0799999237061,20.7649993896484,-13.8299999237061,-7.51000022888184,23.1599998474121,19.25
"18",21,153.370000004768,142.359998263419,257.379999041557,279.083000697196,22.1800003051758,20.9489994049072,-14.4099998474121,-7.46000003814697,23.2900009155273,19.4669990539551
"19",22,210.750003695488,201.569996118545,311.300004482269,378.112002372742,20.6499996185303,19.3120002746582,-11.1000003814697,-5.05000019073486,21.1800003051758,17.1299991607666
"20",23,246.799997806549,239.549998044968,314.249997615814,412.682991981506,18.9099998474121,17.9589996337891,-10.6099996566772,-4.76999998092651,18.3799991607666,15.5769996643066
"21",24,132.600001424551,139.120001912117,256.31000328064,297.609999001026,22.0599994659424,20.5100002288818,-13.9099998474121,-8.39999961853027,23.2099990844727,18.8490009307861
"22",25,176.710001349449,178.579998493195,272.059995174408,335.40499663353,21.6800003051758,20.3150005340576,-12.7399997711182,-6.01999998092651,22.6100006103516,18.6219997406006
"23",26,177.180001616478,175.419997215271,278.909995794296,332.309999704361,21.4599990844727,20.0699996948242,-12.8500003814697,-5.84000015258789,22.3099994659424,18.2199993133545
"24",27,162.559997975826,168.830004215241,271.430003523826,327.80100120604,21.4200000762939,20.1420001983643,-12.8800001144409,-6.23999977111816,22.2099990844727,18.423999786377
"25",28,144.090000629425,140.860001087189,235.880000829697,303.120001316071,21.6399993896484,20.7399997711182,-13.8299999237061,-5.6100001335144,22.6100006103516,19.2880001068115
