Site_number,Year,gdds
1,2013,10
2,2013,12
3,2013,11
4,2013,8
5,2013,8
6,2013,9
7,2013,6
8,2013,11
10,2013,11
11,2013,10
12,2013,9
13,2013,9
14,2013,9
16,2013,10
18,2013,9
19,2013,7
20,2013,7
21,2013,9
22,2013,11
23,2013,11
24,2013,9
25,2013,10
26,2013,10
27,2013,11
28,2013,10
1,2016,30
2,2016,43
3,2016,33
4,2016,22
5,2016,23
6,2016,22
7,2016,25
8,2016,37
10,2016,29
11,2016,26
12,2016,32
13,2016,20
14,2016,20
16,2016,29
18,2016,20
19,2016,21
20,2016,21
21,2016,22
22,2016,41
23,2016,36
24,2016,19
25,2016,29
26,2016,29
27,2016,32
28,2016,22
